,input,output
3302,"it'll be tough, but i'll do what i have to",human
3303,im gonnamissu so much i would say il send u a postcard buttheres aboutas much chance of merememberin asthere is ofsi not breakin his contract luv yaxx,human
3304,ee msg na poortiyagi odalebeku hanumanji   name   hanuman   bajarangabali   maruti   pavanaputra   sankatmochan   ramaduth   mahaveer ee   name lt gt janarige ivatte kalisidare next saturday olage ondu good news keluviri maretare inde   dodda problum nalli siguviri idu matra lt gt true don't neglet,human
3305,hi darlin i finish at   do u     pick me up or meet me text back on this number luv kate xxx,human
3306,"set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember wish you happy valentines day",human
3307,but i'm surprised she still can guess right lor,human
3308,okie ì_ wan meet at bishan cos me at bishan now i'm not driving today,human
3309,oh ho is this the first time u use these type of words,human
3310,hi darlin how was work did u get into trouble ijust talked to your mum all morning i had a really good time last night im goin out soon but call me if u can,human
3311,i know you are serving i mean what are you doing now,human
3312,"huh hyde park not in mel ah, opps, got confused anyway, if tt's e best choice den we juz have to take it",human
3313,oh gei that happend to me in tron maybe ill dl it in  d when its out,human
3314,"free message activate your   free text messages by replying to this message with the word free for terms conditions, visit www   com",spam
3315,i know girls always safe and selfish know i got it pa thank you good night,human
3316,"no worries, hope photo shoot went well have a spiffing fun at workage",human
3317,i'm freezing and craving ice fml,human
3318,kay since we are out already,human
3319,eh sorry leh i din c ur msg not sad already lar me watching tv now u still in office,human
3320,yo im right by yo work,human
3321,ok darlin i supose it was ok i just worry too much i have to do some film stuff my mate and then have to babysit again but you can call me there xx,human
3322,"she said,'' do u mind if i go into the bedroom for a minute '' ''ok'', i sed in a sexy mood she came out   minuts latr wid a cake n my wife,",human
3323,i don wake since i checked that stuff and saw that its true no available spaces pls call the embassy or send a mail to them,human
3324,nope juz off from work,human
3325,huh so fast dat means u havent finished painting,human
3326,what number do u live at is it  ,human
3327,"no we put party   days a week and study lightly, i think we need to draw in some custom checkboxes so they know we're hardcore",human
3328,sac will score big hundred he is set batsman,human
3329,send me yetty's number pls,human
3330,how much it will cost approx per month,human
3331,ok the theory test when are ì_ going to book i think it's on   may coz thought wanna go out with jiayin but she isnt free,human
3332,"you are being contacted by our dating service by someone you know to find out who it is, call from a land line   pobox w tg p",spam
3333,"that's fine, have him give me a call if he knows what he wants or has any questions",human
3334,"sorry, got a late start, we're on the way",human
3335,then u go back urself lor,human
3336,i am at the gas station go there,human
3337,"k, if u bored up just come to my home",human
3338,babe i love you covers your face in kisses,human
3339,"like i made him throw up when we were smoking in our friend's car one time, it was awesome",human
3340,still i have not checked it da,human
3341,you will go to walmart i ll stay,human
3342,"i haven't forgotten you, i might have a couple bucks to send you tomorrow, k i love ya too",human
3343,oh great i ll disturb him more so that we can talk,human
3344,reverse is cheating that is not mathematics,human
3345,u're welcome caught u using broken english again,human
3346,no problem baby is this is a good time to talk i called and left a message,human
3347,"sorry, i'll call later",human
3348,oh is it which brand,human
3349,sorry i cant take your call right now it so happens that there r  waxsto do wat you want she can come and ill get her medical insurance and she'll be able to deliver and have basic care i'm currently shopping for the right medical insurance for her so just give me til friday morning thats when i ll see the major person that can guide me to the right insurance,human
3350,at what time are you coming,human
3351,call him and say you not coming today ok and tell them not to fool me like this ok,human
3352,i emailed yifeng my part oredi can ì_ get it fr him,human
3353,r u sure they'll understand that wine good idea just had a slurp,human
3354,minimum walk is  miles a day,human
3355,ok not a problem will get them a taxi c ing tomorrow and tuesday on tuesday think we r all going to the cinema,human
3356,"brainless baby doll d , vehicle sariyag drive madoke barolla",human
3357,i don't run away frm u i walk slowly amp it kills me that u don't care enough to stop me,human
3358,sorry i missed your call let's talk when you have the time i'm on  ,spam
3359,please attend the phone,human
3360,you only hate me you can call any but you didnt accept even a single call of mine or even you messaged,human
3361,no messages on her phone i'm holding it now,human
3362,can i'm free,human
3363,"yo my trip got postponed, you still stocked up",human
3364,"sorry, i'll call later",human
3365,i am waiting for your call sir,human
3366,hey what are you doing y no reply pa,human
3367,"hey elaine, is today's meeting still on",human
3368,sorry i've not gone to that place i ll do so tomorrow really sorry,human
3369,most of the tiime when i don't let you hug me it's so i don't break into tears,human
3370,tomorrow i am not going to theatre so i can come wherever u call me tell me where and when to come tomorrow,human
3371,and now electricity just went out fml,human
3372,"looks like you found something to do other than smoke, great job",human
3373,also andros ice etc etc,human
3374,,human
3375,"good afternon, my love how are today i hope your good and maybe have some interviews i wake and miss you babe a passionate kiss from across the sea",human
3376,yup wun believe wat u really neva c e msg i sent shuhui,human
3377,hows that watch resizing,human
3378,dear umma she called me now,human
3379,just finished missing you plenty,human
3380,"complimentary   star ibiza holiday or å£ ,  cash needs your urgent collection   now from landline not to lose out box sk wp ppm ",spam
3381,"well, i meant as opposed to my drunken night of before",human
3382,k must book a not huh so going for yoga basic on sunday,human
3383,free msg we billed your mobile number by mistake from shortcode   please call   to have charges refunded this call will be free from a bt landline,spam
3384,ok can,human
3385,"oops am at my mum's in somerset bit far back tomo, see you soon x",human
3386,so u workin overtime nigpun,human
3387,same as kallis dismissial in  nd test,human
3388,o guess they both got screwd,human
3389,please call   immediately as there is an urgent message waiting for you,spam
3390,"i'm in a meeting, call me later at",human
3391,what r u cooking me for dinner,human
3392,ok thanx,human
3393,bull your plan was to go floating off to ikea with me without a care in the world so i have to live with your mess another day,human
3394,then i buy,human
3395,urgent your mobile number has been awarded with a å£  bonus caller prize call   from land line valid  hrs only,spam
3396,heehee that was so funny tho,human
3397,it only does simple arithmetic not percentages,human
3398,"yeah we wouldn't leave for an hour at least, how's   sound",human
3399,"as a valued customer, i am pleased to advise you that following recent review of your mob no you are awarded with a å£  bonus prize, call  ",spam
3400,thanks honey have a great day,human
3401,"'an amazing quote'' \sometimes in life its difficult to decide whats wrong a lie that brings a smile or the truth that brings a tear \""""",human
3402,good night my dear sleepwell amp take care,human
3403,then ì_ ask dad to pick ì_ up lar ìï wan   stay until   meh,human
3404,"jus chillaxin, what up",human
3405,"\hey das cool iknow all   wellda peril of studentfinancial crisis spk   u l r \""""",human
3406,"beautiful truth against gravity read carefully \our heart feels light when someone is in it but it feels very heavy when someone leaves it \"" goodmorning""",human
3407,do you want a new nokia  i colour phone deliveredtomorrow with   free minutes to any mobile   free texts free camcorder reply or call  ,spam
3408,"whats that coming over the hill is it a monster hope you have a great day things r going fine here, busy though",human
3409,joy's father is john then john is the ____ of joy's father if u ans ths you hav lt gt iq tis s ias question try to answer,human
3410,only once then after ill obey all yours,human
3411,no she didnt i will search online and let you know,human
3412,where do you need to go to get it,human
3413,no pic please re send,human
3414,he remains a bro amongst bros,human
3415,uhhhhrmm isnt having tb test bad when youre sick,human
3416,but i haf enuff space got like   mb,human
3417,life has never been this much fun and great until you came in you made it truly special for me i won't forget you enjoy one gbp sms,spam
3418,do you want a new video phone   anytime any network mins   inclusive video calls and downloads   per week free deltomorrow call   or reply now,spam
3419,"as a valued customer, i am pleased to advise you that following recent review of your mob no you are awarded with a å£  bonus prize, call  ",spam
3420,welcome please reply with your age and gender to begin e g  m,spam
3421,freemsg   month unlimited free calls activate smartcall txt call to no   subscriptn gbp wk unlimited calls help   stop txt stop landlineonly,spam
3422,had your mobile   mths update to latest orange camera video phones for free save å£s with free texts weekend calls text yes for a callback orno to opt out,spam
3423,am new   club dont fink we met yet will b gr    c u please leave msg  day wiv ur area   reply promised carlie x callså£  minmobsmore lkpobox hp fl,spam
3424,true its easier with her here,human
3425,sure but since my parents will be working on tuesday i don't really need a cover story,human
3426,haha okay today weekend leh,human
3427,"\hi darlin did youphone me im athome if youwanna chat \""""",human
3428,i don't know jack shit about anything or i'd say ask something helpful but if you want you can pretend that i did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,human
3429,you've always been the brainy one,human
3430,yeah if we do have to get a random dude we need to change our info sheets to party lt gt   never study just to be safe,human
3431,camera you are awarded a sipix digital camera call   fromm landline delivery within   days,spam
3432,"christmas is an occasion that is celebrated as a reflection of ur values , desires , affections amp traditions have an ideal christmas",human
3433,sending you greetings of joy and happiness do have a gr  evening,human
3434,"\hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal when are u free katexxx\""""",human
3435,if india win or level series means this is record,human
3436,then what about further plan,human
3437,its good to hear from you,human
3438,"awesome, how do i deal with the gate charles told me last night but, uh, yeah",human
3439,what time you thinkin of goin,human
3440,get a free mobile video player free movie to collect text go to   its free extra films can be ordered t's and c's apply   yrs only,spam
3441,save money on wedding lingerie at www bridal petticoatdreams co uk choose from a superb selection with national delivery brought to you by weddingfriend,spam
3442,your board is working fine the issue of overheating is also reslove but still software inst is pending i will come around  'o clock,human
3443,yes but i don't care cause i know its there,human
3444,"wiskey brandy rum gin beer vodka scotch shampain wine \kudi\""yarasu dhina vaazhthukkal """,human
3445,"mon okie lor haha, best is cheap n gd food la, ex oso okie depends on whether wana eat western or chinese food den which u prefer",human
3446,sitting ard nothing to do lor u leh busy w work,human
3447,its lt gt k here oh should i send home for sale,human
3448,sorry || mail ||,human
3449,ya just telling abt tht incident,human
3450,yes we were outside for like   hours and i called my whole family to wake them up cause it started at   am,human
3451,ugh just got outta class,human
3452,"nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication it is very champlaxigating, i think it is atrocious wotz ur opinion junna",human
3453,i dont have any of your file in my bag i was in work when you called me i 'll tell you if i find anything in my room,human
3454,no need lar jus testing e phone card dunno network not gd i thk me waiting   my sis   finish bathing so i can bathe dun disturb u liao u cleaning ur room,human
3455,ok i ll do you right later,human
3456,friendship poem dear o dear u r not near but i can hear dont get fear live with cheer no more tear u r always my dear gud ni ,human
3457,have your lunch and come quickly and open the door,human
3458,not heard from u  a while call me now am here all night with just my knickers on make me beg for it like u did last time   xx luv nikiyu  net,spam
3459,i am back bit long cos of accident on a  had to divert via wadebridge i had a brilliant weekend thanks speak soon lots of love,human
3460,"k i yan jiu liao sat we can go   bugis vill one frm   to   den hop to parco   nb sun can go cine frm   to  , den hop to orc mrt   hip hop at  ",human
3461,bloomberg message center   why wait apply for your future http careers bloomberg com,spam
3462,i am seeking a lady in the street and a freak in the sheets is that you,human
3463,my phone,human
3464,"haha figures, well i found the piece and priscilla's bowl",human
3465,"actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",human
3466,urgent we are trying to contact u todays draw shows that you have won a å£  prize guaranteed call   from land line claim m  valid hrs only,spam
3467,yay finally lol i missed our cinema trip last week,human
3468,all day working day except saturday and sunday,human
3469,aathi where are you dear,human
3470,heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams,human
3471,"i think iû÷m waiting for the same bus inform me when you get there, if you ever get there",human
3472,you getting back any time soon,human
3473,", how's things just a quick question",human
3474,"night has ended for another day, morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay gud mrng",human
3475,"i can probably come by, everybody's done around lt gt right",human
3476,i got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the lt gt day return period ended,human
3477,i can ask around but there's not a lot in terms of mids up here,human
3478,be sure to check your yahoo email we sent photos yesterday,human
3479,what was she looking for,human
3480,wherre's my boytoy,human
3481,do you want a new video phone  anytime any network mins   text for only five pounds per week call   now or reply for delivery tomorrow,spam
3482,"hello, my love how goes that day i wish your well and fine babe and hope that you find some job prospects i miss you, boytoy a teasing kiss",human
3483,tell my bad character which u dnt lik in me i'll try to change in lt gt i ll add tat   my new year resolution waiting for ur reply be frank good morning,human
3484,no i got rumour that you going to buy apartment in chennai,human
3485,"yeah, probably earlier than that",human
3486,change windows logoff sound,human
3487,still i have not checked it da,human
3488,i'm also came to room,human
3489,huh but i got lesson at   lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale,human
3490,ok,human
3491,i will reach office around lt decimal gt amp my mobile have problem you cann't get my voice so call you asa i'll free,human
3492,"cool, text me when you head out",human
3493,"you are being contacted by our dating service by someone you know to find out who it is, call from a land line   pobox w tg p",spam
3494,"wan  win a meet greet with westlife   u or a m  they are currently on what tour   unbreakable,   untamed,   unkempt text  ,  or   to   cost  p std text",spam
3495,happy birthday may u find ur prince charming soon n dun work too hard,human
3496,"oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",human
3497,you said to me before i went back to bed that you can't sleep for anything,human
3498,i hope you arnt pissed off but id would really like to see you tomorrow love me xxxxxxxxxxxxxx,human
3499,dorothy kiefer com bank of granite issues strong buy explosive pick for our members up over   nasdaq symbol cdgt that is a     per,spam
3500,says the lt gt year old with a man and money i'm down to my last lt gt still waiting for that check,human
3501,i will come to ur home now,human
3502,free any day but i finish at   on mon n thurs,human
3503,will you be here for food,human
3504,"life alle mone,eppolum oru pole allalo",human
3505,nite,human
3506,two fundamentals of cool life \walk,human
3507,"camera quite good,    mega pixels,  optical and  digital dooms have a lovely holiday, be safe and i hope you hav a good journey happy new year to you both see you in a couple of weeks",human
3508,hi petey noiåõm ok just wanted   chat coz avent spoken   u   a long time hope ur doin alrite have good nit at js love ya am x,human
3509,i just saw ron burgundy captaining a party boat so yeah,human
3510,i'm serious you are in the money base,human
3511,already one guy loving you,human
3512,staff of placement training in amrita college,human
3513,i always chat with you in fact i need money can you raise me,human
3514,i'm job profile seems like bpo,human
3515,"well, i was about to give up cos they all said no they didnû÷t do one nighters i persevered and found one but it is very cheap so i apologise in advance it is just somewhere to sleep isnt it",human
3516,"so you think i should actually talk to him not call his boss in the morning i went to this place last year and he told me where i could go and get my car fixed cheaper he kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc",human
3517,are you willing to go for apps class,human
3518,hanging out with my brother and his family,human
3519,no it will reach by   only she telling she will be there i dont know,human
3520,hey are you going to quit soon xuhui and i working till end of the month,human
3521,"im sorry bout last nite it wasnåõt ur fault it was me, spouse it was pmt or sumthin u  give me i think u shldxxxx",human
3522,try neva mate,human
3523,yeah that'd pretty much be the best case scenario,human
3524,i not free today i haf   pick my parents up tonite,human
3525,\hey babe far   spun out   spk at da mo dead   da wrld been sleeping on da sofa all day,human
3526,should i send you naughty pix,human
3527,"you are a å£  winner or guaranteed caller prize, this is our final attempt to contact you to claim call   now  ppmpobox bhamb xe",spam
3528,"xmas new years eve tickets are now on sale from the club, during the day from  am till  pm, and on thurs, fri sat night this week they're selling fast",spam
3529,"tyler getting an  th has to leave not long after  , can you get here in like an hour",human
3530,prepare to be pounded every night,human
3531,"actually, my mobile is full of msg and i m doing a work online, where i need to send them lt gt sent msg i wil explain u later",human
3532,"sorry, i'll call later",human
3533,good evening how are you,human
3534,i'm at home please call,human
3535,oic cos me n my sis got no lunch today my dad went out so dunno whether   eat in sch or wat,human
3536,"mmmmm it was sooooo good to wake to your words this morning, my love mmmm fuck i love you too, my lion devouring kiss from across the sea",human
3537,we are pleased to inform that your application for airtel broadband is processed successfully your installation will happen within   days,human
3538,what happen dear why you silent i am tensed,human
3539,"i'll get there at  , unless you guys want me to come some time sooner",human
3540,if you are not coughing then its nothing,human
3541,ìï come lt   n pass to me lar,human
3542,i'm e person who's doing e sms survey,human
3543,lol ok ill try to send be warned sprint is dead slow you'll prolly get it tomorrow,human
3544,thank you meet you monday,human
3545,so is th gower mate which is where i am how r u man all is good in wales ill b back åômorrow c u this wk who was the msg   åð random,human
3546,"rock yr chik get  's of filthy films xxx pics on yr phone now rply filth to   saristar ltd, e   yt    p per   days stop  cancel",spam
3547,"single line with a big meaning \miss anything   ur \""best life\"" but",human
3548,"i got like lt gt , i can get some more later though get whatever you feel like",human
3549,"dad wanted to talk about the apartment so i got a late start, omw now",human
3550,i love you both too,human
3551,lol u still feeling sick,human
3552,din i tell u jus now  ,human
3553,am up to my eyes in philosophy,human
3554,from next month get upto   more calls   ur standard network charge   activate call   c wire  net  st terms pobox  m   uz cost å£    min mobcudb more,spam
3555,ok lor i'm in town now lei,human
3556,i had it already sabarish asked me to go,human
3557,no da vijay going to talk in jaya tv,human
3558,urgent we are trying to contact u todays draw shows that you have won a å£  prize guaranteed call   from land line claim j  po box c pm,spam
3559,lol i know hey someone did a great inpersonation of flea on the forums i love it,human
3560,text banneduk to   to see cost  p textoperator g ga   xxx,spam
3561,still chance there if you search hard you will get it let have a try,human
3562,"auction round   the highest bid is now å£  next maximum bid is å£  to bid, send bids e g   to bid å£  to   good luck",spam
3563,do you always celebrate ny's with your family,human
3564,"we know taj mahal as symbol of love but the other lesser known facts   mumtaz was shahjahan's  th wife, out of his   wifes   shahjahan killed mumtaz's husband to marry her   mumtaz died in her lt gt th delivery   he then married mumtaz's sister question arises where the hell is the love | the great hari",human
3565,its ok come to my home it vl nice to meet and v can chat,human
3566,collect your valentine's weekend to paris inc flight hotel å£  prize guaranteed text paris to no   www rtf sphosting com,spam
3567,sent me de webadres for geting salary slip,human
3568,she's fine sends her greetings,human
3569,customer loyalty offer the new nokia  mobile from only å£  at txtauction txt word start to no   get yours now  t ctxt tc  p mtmsg,spam
3570,but you dint in touch with me,human
3571,"yup, leaving right now, be back soon",human
3572,you won't believe it but it's true it's incredible txts reply g now to learn truly amazing things that will blow your mind from o fwd only  p txt,spam
3573,yeah sure i'll leave in a min,human
3574,and do you have any one that can teach me how to ship cars,human
3575,"the sign of maturity is not when we start saying big things but actually it is, when we start understanding small things have a nice evening bslvyl",human
3576,yeah confirmed for you staying at that weekend,human
3577,they said ì_ dun haf passport or smth like dat or ì_ juz send to my email account,human
3578,"multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you",human
3579,"have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be have a great morning",human
3580,ard   lor,human
3581,you are right meanwhile how's project twins comin up,human
3582,i sent your maga that money yesterday oh,human
3583,hi   ibh customer loyalty offer the new nokia  mobile from only å£  at txtauction txt word start to no   get yours now  t,spam
3584,heart is empty without love mind is empty without wisdom eyes r empty without dreams amp life is empty without frnds so alwys be in touch good night amp sweet dreams,human
3585,i am hot n horny and willing i live local to you text a reply to hear strt back from me  p per msg netcollex ltdhelpdesk   reply stop to end,spam
3586,our ride equally uneventful not too many of those pesky cyclists around at that time of night,human
3587,if you were are free i can give otherwise nalla adi entey nattil kittum,human
3588,i've sent my wife your text after we buy them she'll tell you what to do so just relax we should go get them this wkend,human
3589,i am in escape theatre now going to watch kavalan in a few minutes,human
3590,how much would it cost to hire a hitman,human
3591,i anything lor,human
3592,"sorry, i'll call later",human
3593,do you want a new nokia  i colour phone delivered tomorrow with   free minutes to any mobile   free text free camcorder reply or call  ,spam
3594,huh but i cant go   ur house empty handed right,human
3595,good morning princess happy new year,human
3596,congratulations you've won you're a winner in our august å£  prize draw call   now prize code  ,spam
3597,"aight, we'll head out in a few",human
3598,then wat r u doing now busy wif work,human
3599,i know you mood off today,human
3600,"jay told me already, will do",human
3601,cps is causing the outages to conserve energy,human
3602,"i'm not sure, i was just checking out what was happening around the area",human
3603,hey morning what you come to ask pa,human
3604,jordan got voted out last nite,human
3605,"that means you got an a in epi, she s fine she s here now",human
3606,i have no idea where you are,human
3607,pls come quick cant bare this,human
3608,joy's father is john then john is the ____ of joy's father if u ans ths you hav lt gt iq tis s ias question try to answer,human
3609,"call me i m unable to cal lets meet bhaskar, and deep",human
3610,no i ll meet you in the library,human
3611,"k, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, i'll tell you when they know for sure",human
3612,depends on individual lor e hair dresser say pretty but my parents say look gong u kaypoh i also dunno wat she collecting,human
3613,ok c ì_ then,human
3614,i enjoy watching and playing football and basketball anything outdoors and you,human
3615,"can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold lt gt or any bb",human
3616,sorry sent blank msg again yup but trying   do some serious studying now,human
3617,hey check it da i have listed da,human
3618,   p   alfie moon's children in need song on ur mob tell ur m s txt tone charity to   for nokias or poly charity for polys zed   profit   charity,spam
3619,i meant as an apology from me for texting you to get me drugs at lt gt at night,human
3620,that means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem,human
3621,goin to workout lor muz lose e fats,human
3622,"damn, poor zac doesn't stand a chance",human
3623,no message no responce what happend,human
3624,i want to tel u one thing u should not mistake me k this is the message that you sent,human
3625,yeah right i'll bring my tape measure fri,human
3626,still chance there if you search hard you will get it let have a try,human
3627,meeting u is my work tel me when shall i do my work tomorrow,human
3628,should i head straight there or what,human
3629,get the official england poly ringtone or colour flag on yer mobile for tonights game text tone or flag to   optout txt eng stop box  w wx å£   ,spam
3630,thank you princess you are so sexy,human
3631,oooh i got plenty of those,human
3632,hui xin is in da lib,human
3633,its a big difference lt gt versus lt gt every lt gt hrs,human
3634,"it's not that you make me cry it's just that when all our stuff happens on top of everything else, it pushes me over the edge you don't underdtand how often i cry over my sorry, sorry life",human
3635,"\me   babe i feel the same lets just  get about it both try cheer up not fit soo muchxxlove u locaxx\""""",human
3636,you know what hook up means right,human
3637,"customer service announcement we recently tried to make a delivery to you but were unable to do so, please call   to re schedule ref  ",spam
3638,wat's da model num of ur phone,human
3639,he's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,human
3640,"you can stop further club tones by replying \stop mix\"" see my tone com enjoy html for terms club tones cost gbp    week mfl",spam
3641,my house here e sky quite dark liao if raining then got excuse not   run already rite hee,human
3642,"sorry, left phone upstairs ok, might be hectic but would be all my birds with one fell swoop it's a date",human
3643,thought i didn't see you,human
3644,wamma get laid want real doggin locations sent direct to your mobile join the uks largest dogging network txt dogs to   now nyt ec a  lp å£    msg,spam
3645,carlos says we can pick up from him later so yeah we're set,human
3646,"hey babe, my friend had to cancel, still up for a visit",human
3647,as per your request 'maangalyam alaipayuthe ' has been set as your callertune for all callers press   to copy your friends callertune,human
3648,hmm ill have to think about it ok you're forgiven d,human
3649,"we are hoping to get away by  , from langport you still up for town tonight",human
3650,want to send me a virtual hug i need one,human
3651,"probably not, still going over some stuff here",human
3652,it has issues right now ill fix for her by tomorrow,human
3653,why i come in between you people,human
3654,senthil group company apnt  pm,human
3655,oh really did you make it on air what's your talent,human
3656,studying but i ll be free next weekend,human
3657,r u here yet i'm wearing blue shirt n black pants,human
3658,wait i will come out lt gt min,human
3659,i will reach ur home in lt gt minutes,human
3660,well then you have a great weekend,human
3661,"what are you doing in langport sorry, but i'll probably be in bed by  pm it sucks being ill at xmas when do you and go sri lanka",human
3662,"frnd s not juz a word not merely a relationship its a silent promise which says \ i will be with you \"" wherevr whenevr forevr gudnyt dear """,human
3663,huh   also cannot then only how many mistakes,human
3664,ha u jus ate honey ar so sweet,human
3665,i'm turning off my phone my moms telling everyone i have cancer and my sister won't stop calling it hurts to talk can't put up with it see u when u get home love u,human
3666,"honey sweetheart darling sexy buns sugar plum loverboy i miss you, boytoy smacks your ass did you go to the gym too",human
3667,thanks for loving me so you rock,human
3668,yeah imma come over cause jay wants to do some drugs,human
3669,ok thanx take care then,human
3670,yup thk of u oso boring wat,human
3671,"came to look at the flat, seems ok, in his  s is away alot wiv work got woman coming at     too",human
3672,moji just informed me that you saved our lives thanks,human
3673,you have won a nokia  i this is what you get when you win our free auction to take part send nokia to   now hg suite   lands row w jhl  ,spam
3674,whos this am in class,human
3675,hey r ì_ still online i've finished the formatting,human
3676,great so what attracts you to the brothas,human
3677,promotion number   ur awarded a city break and could win a å£  summer shopping spree every wk txt store to   skilgme tscs winawk age  å£   perwksub,spam
3678,stupid its not possible,human
3679,i cant pick the phone right now pls send a message,human
3680,lol what happens in vegas stays in vegas,human
3681,"hello, hello, hi lou sorry it took so long   reply i left mobile at friends in lancaster, just got it bak neway im sorry i couldnåõt make ur båõday   hun",human
3682,when did i use soc i use it only at home ìï dunno how   type it in word ar,human
3683,dad says hurry the hell up,human
3684,wake me up at lt gt am morning,human
3685,"i get out of class in bsn in like lt gt minutes, you know where advising is",human
3686,great i shoot big loads so get ready,human
3687,i'll meet you in the lobby,human
3688,you still coming tonight,human
3689,what happen dear tell me,human
3690,"sir, i am waiting for your call, once free please call me",human
3691,no i am not having not any movies in my laptop,human
3692,i was about to do it when i texted i finished a long time ago and showered and er'ything,human
3693,ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly love me xxx,human
3694,"hello, as per request from lt gt rs   has been transfered to you",human
3695,i am in tirupur call you da,human
3696,you are a winner you have been specially selected to receive å£  cash or a å£  award speak to a live operator to claim call  am  pm cost  p,spam
3697,s but he had some luck   catches put down,human
3698,how i noe did ì_ specify da domain as nusstu ìï still in sch,human
3699,oh i asked for fun haha take care ì_,human
3700,shall i get my pouch,human
3701,hey loverboy i love you i had to tell i look at your picture and ache to feel you between my legs fuck i want you i need you i crave you,human
3702,"how is my boy no sweet words left for me this morning sighs how goes you day, my love did you start your studying",human
3703,kent vale lor ìï wait   me there ar,human
3704,ok very good its all about making that money,human
3705,reading gud habit nan bari hudgi yorge pataistha ertini kano,human
3706,aight do you still want to get money,human
3707,free top ringtone sub to weekly ringtone get  st week free send subpoly to     per week stop sms  ,spam
3708,ok ok ok then whats ur todays plan,human
3709,are you in town this is v important,human
3710,"sorry pa, i dont knw who ru pa",human
3711,wat u doing there,human
3712,if i not meeting ì_ all rite then i'll go home lor if ì_ dun feel like comin it's ok,human
3713,"oh, i will get paid the most outstanding one is for a commercial i did for hasbro in august they made us jump through so many hoops to get paid still not",human
3714,"i am late,so call you tomorrow morning take care sweet dreams u and me ummifying bye",human
3715,networking technical support associate,human
3716,i'm gonna rip out my uterus,human
3717,cool do you like swimming i have a pool and jacuzzi at my house,human
3718,"thanks for your ringtone order, reference number x  your mobile will be charged     should your tone not arrive please call customer services   from [colour red]text[ colour]txtstar",spam
3719,"yeah why not, is the gang all ready",human
3720,blank is blank but wat is blank lol,human
3721,i'm in a movie collect car oredi,human
3722,we left already we at orchard now,human
3723,"hi there,  nights ur lucky night uve been invited   xchat, the uks wildest chat txt chat to   now  p msgrcvdhg suite   lands row w j hl ldn  yrs",spam
3724,nothing spl wat abt u and whr ru,human
3725,no chikku nt yet ya i'm free,human
3726,"aldrine, rakhesh ex rtm here pls call urgent",human
3727,the search   happiness is   of d main sources of unhappiness accept life the way it comes u will find happiness in every moment u live,human
3728,i'm at home please call,human
3729,"i guess you could be as good an excuse as any, lol",human
3730,"isn't frnd a necesity in life imagine urself witout a frnd hw'd u feel at ur colleg wat'll u do wth ur cell wat abt functions thnk abt events espe'll cared, missed amp irritated u  wrd it to all those dear loving frnds wthout whom u cant live i jst did it takecare goodmorning",human
3731,gud mrng dear hav a nice day,human
3732,old orchard near univ how about you,human
3733,"  tacos   rajas burrito, right",human
3734,"itû÷s å£  to get in, is that ok",human
3735,hows the street where the end of library walk is,human
3736,"plz note if anyone calling from a mobile co amp asks u to type lt gt or lt gt do not do so disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no itz confirmd by nokia n motorola n has been verified by cnn ibn",human
3737,we stopped to get ice cream and will go back after,human
3738,did you stitch his trouser,human
3739,no da vijay going to talk in jaya tv,human
3740,     tf p,spam
3741,hey i'm bored so i'm thinking of u so wat r u doing,human
3742,"nah, wednesday when should i bring the mini cheetos bag over",human
3743,nobody names their penis a girls name this story doesn't add up at all,human
3744,"aight, let me know when you're gonna be around usf",human
3745,i'm not she lip synced with shangela,human
3746,ìï neva tell me how i noe i'm not at home in da aft wat,human
3747,"a bit of ur smile is my hppnss, a drop of ur tear is my sorrow, a part of ur heart is my life, a heart like mine wil care for u, forevr as my goodfriend",human
3748,dear voucher holder   claim your  st class airport lounge passes when using your holiday voucher call   when booking quote  st class x  ,spam
3749,"buzz hey, my love i think of you and hope your day goes well did you sleep in i miss you babe i long for the moment we are together again loving smile",human
3750,"haha sounds crazy, dunno can tahan anot",human
3751,why are u up so early,human
3752,ya that one is slow as poo,human
3753,bloomberg message center   why wait apply for your future http careers bloomberg com,spam
